"petition_number","cert_wrkrs_pet","partic_pet","partic_rate"
64562,256,126,0.4921875
64563,94,10,0.106382978723404
64564,22,43,1
64568,230,138,0.6
64569,102,58,0.568627450980392
64571,65,28,0.430769230769231
64573,147,172,1
64575,38,57,1
64577,36,3,0.0833333333333333
64581,573,367,0.640488656195462
64582,22,3,0.136363636363636
64583,33,7,0.212121212121212
64584,72,121,1
64585,597,291,0.487437185929648
64587,40,8,0.2
64590,144,8,0.0555555555555556
64593,6,4,0.666666666666667
64594,42,7,0.166666666666667
64595,103,144,1
64596,166,43,0.259036144578313
64597,17,30,1
64599,25,14,0.56
64601,25,6,0.24
64606,57,26,0.456140350877193
64607,234,100,0.427350427350427
64608,130,12,0.0923076923076923
64610,49,7,0.142857142857143
64611,276,40,0.144927536231884
64612,42,9,0.214285714285714
64614,179,24,0.134078212290503
64615,240,27,0.1125
64616,495,17,0.0343434343434343
64617,51,25,0.490196078431373
64619,358,311,0.868715083798883
64621,8,3,0.375
64623,27,40,1
64626,8,4,0.5
64627,36,8,0.222222222222222
64628,182,124,0.681318681318681
64631,298,408,1
64633,93,282,1
64634,437,128,0.292906178489703
64635,45,53,1
64637,160,3,0.01875
64638,310,180,0.580645161290323
64639,40,145,1
64640,11,17,1
64641,107,39,0.364485981308411
64643,3926,1031,0.262608252674478
64646,542,271,0.5
64648,25,10,0.4
64649,21,3,0.142857142857143
64650,48,32,0.666666666666667
64653,61,46,0.754098360655738
64654,266,91,0.342105263157895
64657,63,3,0.0476190476190476
64659,37,14,0.378378378378378
64660,251,83,0.330677290836653
64661,34,3,0.0882352941176471
64663,35,4,0.114285714285714
64664,110,128,1
64666,100,54,0.54
64668,191,93,0.486910994764398
64669,15,18,1
64670,143,322,1
64673,7,8,1
64674,71,14,0.197183098591549
64675,30,197,1
64678,12,21,1
64680,89,73,0.820224719101124
64682,44,14,0.318181818181818
64684,37,4,0.108108108108108
64689,1302,406,0.311827956989247
64690,27,22,0.814814814814815
64691,139,42,0.302158273381295
64696,83,48,0.578313253012048
64697,28,318,1
64698,23,15,0.652173913043478
64700,30,45,1
64701,70,14,0.2
64702,364,233,0.64010989010989
64704,0,58,1
64705,196,162,0.826530612244898
64706,64,44,0.6875
64710,104,23,0.221153846153846
64711,90,16,0.177777777777778
64715,1157,824,0.71218668971478
64722,68,17,0.25
64723,667,91,0.136431784107946
64724,7,5,0.714285714285714
64725,24,22,0.916666666666667
64727,8,10,1
64729,36,6,0.166666666666667
64731,32,4,0.125
64732,12,3,0.25
64733,94,7,0.074468085106383
64734,186,99,0.532258064516129
64735,84,30,0.357142857142857
64736,37,116,1
64737,299,32,0.107023411371237
64738,7,4,0.571428571428571
64739,497,453,0.911468812877264
64740,15,3,0.2
64741,34,12,0.352941176470588
64745,7,3,0.428571428571429
64746,40,11,0.275
64747,550,163,0.296363636363636
64749,358,152,0.424581005586592
64750,100,3,0.03
64751,16,3,0.1875
64752,30,8,0.266666666666667
64753,240,5,0.0208333333333333
64754,143,9,0.0629370629370629
