TAWSuffix,City,State,StreetAddress,Zip,AUTO_UNIQUE_ID_2019-03-19_njbell89_field_site_unm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
73784A,St. Paul,MN,,,306,USCGeocoder,15.7466,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,145498914.5,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,44.94774025,-93.10399583,Relaxed;Soundex,TwoThousandTen,58000,5120,,58000,0,33460,1045,1,428,123,27,9,Missing
73785,Murrow,OH,,,307,USCGeocoder,62.5249,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,5080976.728,ArealInterpolationGeometricCentroid,City,43.33333333,FeatureClassBased,FlipACoin,,CityCentroid,,,1,39.3495407,-84.12353619,Relaxed;Soundex,TwoThousandTen,52374,1642,,69988,0,17140,3021,3,323,165,39,6,ResidenceCityOrZIPWithOneCensusTract
73851,St. Pauls,NC,,,308,USCGeocoder,78.121,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,2806237.525,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,34.80705258,-78.97355288,Relaxed;Soundex,TwoThousandTen,58720,,,92796,1,31300,1094,1,9601.02,155,37,6,ResidenceCityOrZIPWithOneCensusTract
73863,Bensalem,PA,,,309,USCGeocoder,15.6415,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,54206462.27,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,40.10860589,-74.94310605,Relaxed;Soundex,TwoThousandTen,,240,37964,5616,0,37980,4000,4,1002.08,17,42,9,Missing
73972,Ocean Port,NJ,,,310,USCGeocoder,93.7867,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,9837630.997,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,40.31604691,-74.02049706,Relaxed;Soundex,TwoThousandTen,54570,5602,20764,54570,0,35620,4013,4,8053,25,34,9,Missing
73993,Norwell,MA,,,311,USCGeocoder,78.1373,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,55015241.04,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,42.16074947,-70.8176467,Relaxed;Soundex,TwoThousandTen,,740,14484,50145,0,14460,1018,1,5041.01,23,25,9,Missing
74007,Berkeley Heights,NJ,,,312,USCGeocoder,31.2095,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,4296527.956,ArealInterpolationGeometricCentroid,City,20.66666667,FeatureClassBased,FlipACoin,,CityCentroid,,,1,39.90124333,-75.0008287,Relaxed;Soundex,TwoThousandTen,2880,6162,15804,12280,0,37980,1003,1,6036.02,7,34,9,Missing
74034,St. Louis,MO,,,313,USCGeocoder,15.7274,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,171026232.2,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,38.63581226,-90.24511868,Relaxed;Soundex,TwoThousandTen,65000,7040,,65000,0,41180,1008,1,1186,510,29,9,Missing
74049,St. Louis,MO,,,314,USCGeocoder,15.6177,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,171026232.2,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,38.63581226,-90.24511868,Relaxed;Soundex,TwoThousandTen,65000,7040,,65000,0,41180,1008,1,1186,510,29,9,Missing
74106,Cheshire,CT,,,315,USCGeocoder,62.4921,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,8726222.152,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,41.50260108,-72.89925306,Relaxed;Soundex,TwoThousandTen,14200,5602,,14160,0,35300,2031,2,3431.02,9,9,9,Missing
