Combo.FIPS,CBP.2.Digit.NAICS,employees
1113,99,19
1115,0,13181
1115,11,32
1115,21,19
1115,22,78
1115,23,1160
1115,31,2171
1115,42,1306
1115,44,2259
1115,48,224
1115,51,133
1115,52,465
1115,53,120
1115,54,421
1115,55,19
1115,56,471
1115,61,19
1115,62,1765
1115,71,27
1115,72,1710
1115,81,821
1115,99,19
1117,0,76171
1117,11,233
1117,21,478
1117,22,2499
1117,23,5471
1117,31,5775
1117,42,5242
1117,44,9743
1117,48,848
1117,51,5350
1117,52,9839
1117,53,1343
1117,54,3963
1117,55,799
1117,56,6219
1117,61,1552
1117,62,5778
1117,71,899
1117,72,6678
1117,81,3859
1117,99,6
1119,0,2986
1119,11,44
1119,21,99
1119,22,19
1119,23,337
1119,31,249
1119,42,166
1119,44,295
1119,48,554
1119,51,99
1119,52,64
1119,53,99
1119,54,99
1119,56,302
1119,61,99
1119,62,471
1119,71,19
1119,72,262
1119,81,60
1121,0,21858
1121,11,19
1121,21,499
1121,22,249
1121,23,841
1121,31,8459
1121,42,513
1121,44,2786
1121,48,1049
1121,51,177
1121,52,553
1121,53,277
1121,54,249
1121,55,72
1121,56,698
1121,61,499
1121,62,2887
1121,71,166
1121,72,1591
1121,81,710
1123,0,11868
1123,11,47
1123,21,19
1123,22,99
1123,23,455
1123,31,1325
1123,42,2499
1123,44,1605
1123,48,999
1123,51,184
1123,52,333
1123,53,249
1123,54,207
1123,55,99
1123,56,1770
1123,61,99
1123,62,2449
1123,71,167
1123,72,791
1123,81,480
1125,0,70373
1125,11,187
1125,21,2499
1125,22,376
1125,23,5775
1125,31,12555
1125,42,1876
1125,44,10033
1125,48,2263
1125,51,1519
1125,52,1692
1125,53,1473
1125,54,2362
1125,55,573
1125,56,3004
1125,61,838
1125,62,11485
1125,71,486
1125,72,8602
1125,81,3319
1125,99,19
1127,0,15960
1127,11,117
1127,21,795
1127,22,999
1127,23,362
1127,31,1733
1127,42,376
1127,44,3400
1127,48,368
1127,51,133
1127,52,649
1127,53,249
1127,54,544
1127,55,99
1127,56,253
1127,61,99
1127,62,3637
1127,71,393
1127,72,1555
1127,81,795
1127,99,19
1129,0,3056
1129,11,143
1129,21,19
1129,22,249
1129,23,76
1129,31,1504
1129,42,103
1129,44,290
1129,48,50
1129,51,99
1129,52,80
1129,53,19
1129,54,47
1129,56,99
1129,62,296
1129,71,19
1129,72,48
1129,81,249
1129,99,99
1131,0,2012
1131,11,130
1131,22,19
1131,23,126
1131,31,607
1131,42,99
1131,44,266
1131,48,90
1131,51,99
1131,52,101
1131,53,19
1131,54,19
1131,56,19
1131,61,99
1131,62,499
1131,71,19
1131,72,249
1131,81,100
1131,99,19
1133,0,6622
1133,11,28
1133,21,19
1133,22,99
1133,23,121
1133,31,3149
1133,42,232
1133,44,904
1133,48,191
1133,51,99
1133,52,436
1133,53,31
1133,54,64
1133,55,19
1133,56,249
1133,62,663
1133,71,14
1133,72,372
1133,81,214
1133,99,19
2000,0,4999
2000,21,2499
2000,42,99
2000,48,99
2000,52,8
2000,53,99
2000,54,99
2000,56,2499
2013,0,2499
2013,11,2
2013,22,19
2013,31,2499
2013,42,19
2013,44,69
2013,48,99
2013,51,19
2013,52,19
2013,53,19
2013,54,19
2013,56,19
2013,62,99
2013,72,42
2013,81,19
2016,0,4953
2016,11,249
2016,22,19
2016,23,19
2016,31,3316
2016,42,52
2016,44,249
2016,48,879
2016,51,99
2016,52,19
2016,53,39
2016,54,19
2016,55,19
2016,56,19
2016,61,19
2016,62,249
2016,71,19
2016,72,249
2016,81,41
2020,0,144656
2020,11,19
2020,21,6869
2020,22,999
2020,23,11012
2020,31,2613
2020,42,5997
2020,44,15306
2020,48,11302
2020,51,4720
2020,52,5113
2020,53,2729
2020,54,10912
2020,55,4762
2020,56,18138
2020,61,1574
2020,62,20663
2020,71,2705
2020,72,14242
2020,81,5389
2020,99,19
2050,0,3471
2050,22,99
2050,23,21
2050,31,19
2050,42,18
2050,44,754
2050,48,326
2050,51,44
2050,52,99
2050,53,99
2050,54,19
2050,55,19
2050,56,99
2050,61,99
2050,62,2499
2050,71,27
2050,72,32
2050,81,72
2060,0,302
2060,11,19
2060,22,99
2060,23,19
2060,31,99
2060,42,19
2060,44,59
2060,48,99
2060,51,19
2060,52,19
2060,53,19
2060,54,19
2060,56,19
2060,62,19
2060,71,19
2060,72,45
2060,81,19
2068,0,522
2068,21,249
2068,22,99
2068,23,23
2068,44,99
2068,48,19
2068,51,19
2068,52,19
2068,54,19
2068,56,19
2068,61,19
2068,62,19
2068,71,7
2068,72,249
2068,81,19
2070,0,1256
2070,11,19
2070,21,19
2070,22,99
2070,23,19
2070,31,249
2070,42,19
2070,44,181
2070,48,111
2070,51,19
2070,52,19
2070,53,22
2070,54,99
2070,55,19
2070,56,19
2070,62,999
2070,71,19
2070,72,99
2070,81,19
2090,0,26479
2090,11,19
2090,21,584
2090,22,249
2090,23,2022
2090,31,557
2090,42,831
2090,44,4935
2090,48,2166
2090,51,536
2090,52,824
2090,53,924
2090,54,1315
2090,55,48
2090,56,1198
2090,61,243
2090,62,4978
2090,71,626
2090,72,2974
2090,81,1484
2090,99,19
