"","NAME","state","county","county_fips","state_fips","C24030_001","C24030_029","B20005_003","B20005_050","B20005B_003","B20005B_050","B20005I_003","B20005I_050","B23013_001","B23006_005","B23006_012","B23006_019","B23006_026","B19013_001","year"
"14684","Calhoun County, Arkansas",5,"013","013","05",2321,1007,879,698,139,142,0,13,38.8,209,920,689,218,30980,2013
"14685","Bradley County, Arkansas",5,"011","011","05",4374,2126,1544,1063,273,410,302,53,42.3,693,1728,1012,536,30409,2013
"14686","Lawrence County, Arkansas",5,"075","075","05",6384,3156,2552,1906,0,0,35,0,39.5,501,2463,1674,730,32239,2013
"14687","Polk County, Arkansas",5,"113","113","05",8090,3741,3091,2224,0,0,237,92,42.2,745,2540,2566,1108,32835,2013
"14688","Conway County, Arkansas",5,"029","029","05",8256,3898,3373,2675,264,474,191,29,41.9,640,3031,2360,1352,35225,2013
"14689","Newton County, Arkansas",5,"101","101","05",3326,1469,1131,790,0,0,5,6,43.6,294,1257,854,423,30038,2013
"14690","Little River County, Arkansas",5,"081","081","05",5490,2617,2216,1825,315,407,93,4,40.9,415,2027,1836,573,39673,2013
"14691","Lonoke County, Arkansas",5,"085","085","05",31164,15276,13464,10726,528,675,388,191,40,2517,9248,10062,6244,52582,2013
"14692","Miller County, Arkansas",5,"091","091","05",18730,8943,7802,6078,1328,1481,118,82,39.3,1432,6810,5788,2828,41319,2013
"14693","St. Francis County, Arkansas",5,"123","123","05",9384,4616,4055,2940,1751,1646,321,45,40.9,1173,3207,2866,1406,30873,2013
"14694","White County, Arkansas",5,"145","145","05",32776,15016,13275,9228,348,369,353,216,38.8,3003,9829,8163,6237,42487,2013
"14695","Merced County, California",6,"047","047","06",93207,41650,36234,22211,1032,910,18787,10486,38.3,25610,21672,28355,13219,42591,2013
"14696","Mariposa County, California",6,"043","043","06",7365,3299,2679,1935,36,2,246,117,45.6,645,1777,3063,1554,49820,2013
"14697","Yuba County, California",6,"115","115","06",24078,11452,10049,6351,316,218,2259,1510,37.5,4027,5846,10183,3830,44902,2013
"14698","Contra Costa County, California",6,"013","013","06",491161,231552,189150,136593,12881,13907,42152,27031,42.3,42456,80231,142890,194215,78756,2013
"14699","Lassen County, California",6,"035","035","06",9583,4233,4532,2679,81,48,382,235,41.4,639,1717,5033,1949,53107,2013
"14700","Stanislaus County, California",6,"099","099","06",203232,91682,79174,50481,1560,1431,31503,16471,39.6,38697,53617,66036,37163,49297,2013
"14701","Sonoma County, California",6,"097","097","06",232206,110904,82961,59042,1248,879,21840,11726,41.7,26432,38951,74425,69382,63356,2013
"14702","Tehama County, California",6,"103","103","06",22495,10547,8546,6266,55,0,1963,1374,42.1,3575,5697,8755,3416,41924,2013
"14703","Mono County, California",6,"051","051","06",7852,3443,3251,1632,0,0,785,334,41.3,1155,1292,2430,2282,61757,2013
"14704","San Benito County, California",6,"069","069","06",24793,10848,9551,6077,181,100,4825,2960,41.2,4795,5539,8655,4556,66237,2013
"14705","Sacramento County, California",6,"067","067","06",610662,300643,218298,184582,15748,18105,43783,31576,39.6,56986,115185,220727,186601,55064,2013
"14706","El Dorado County, California",6,"017","017","06",81175,38455,29332,20920,350,176,2831,1947,45.5,4138,14663,30438,26534,69297,2013
"14707","Monterey County, California",6,"053","053","06",174453,79377,67474,45654,1566,1404,34506,21140,38,44024,32411,45815,35537,59168,2013
"14708","Sierra County, California",6,"091","091","06",1140,587,343,287,0,0,64,2,47.2,81,195,494,242,39009,2013
"14709","Dodge County, Georgia",13,"091","091","13",8039,3807,3546,2901,595,811,154,68,41.7,622,3371,2043,1435,37292,2013
"14710","Cherokee County, Georgia",13,"057","057","13",104824,47987,44790,30609,2215,2262,3390,1998,41.2,7869,20819,30898,36668,67261,2013
"14711","Lee County, Georgia",13,"177","177","13",12706,6421,5300,4404,669,851,52,90,41,1054,3294,4580,2861,60104,2013
"14712","Pickens County, Georgia",13,"227","227","13",12607,5800,4959,3713,19,27,253,41,42.1,1778,3676,3309,2469,51383,2013
"14713","Cook County, Georgia",13,"075","075","13",6910,3327,2826,2307,582,546,250,120,40.1,1113,2377,1875,1026,34985,2013
"14714","Fulton County, Georgia",13,"121","121","13",448135,212615,186942,142677,58334,63177,16384,8414,38.6,26983,66147,102948,229158,56857,2013
"14715","Hawaii County, Hawaii",15,"001","001","15",81463,39944,30017,24915,192,75,2911,2095,42.9,4573,23363,26672,20391,51250,2013
"14716","Kauai County, Hawaii",15,"007","007","15",32247,15820,11416,10098,102,68,787,878,42.9,1442,8161,11349,7792,62052,2013
"14717","Cassia County, Idaho",16,"031","031","16",9360,3716,4512,1818,11,0,1141,353,40.1,1567,1811,2981,1507,42039,2013
"14718","Lincoln County, Idaho",16,"063","063","16",2217,937,992,574,0,0,286,138,40.4,486,700,532,248,42433,2013
"14719","Franklin County, Idaho",16,"041","041","16",5327,2134,2568,840,7,0,168,47,40.1,283,1547,1783,854,44962,2013
"14720","Canyon County, Idaho",16,"027","027","16",77089,35870,29376,19975,244,30,6595,3705,38.3,10050,21502,25606,13751,42105,2013
"14721","Latah County, Idaho",16,"057","057","16",18372,8843,6170,4473,33,11,155,169,30.9,321,2341,4334,6664,41735,2013
"14722","Benewah County, Idaho",16,"009","009","16",3744,1812,1293,821,18,4,17,23,44.2,225,1429,1136,591,39049,2013
"14723","Clark County, Idaho",16,"033","033","16",397,148,200,109,0,0,95,40,43.8,85,70,104,38,33200,2013
"14724","Fremont County, Idaho",16,"043","043","16",5519,2430,2258,1171,0,0,141,116,39.6,524,1460,1940,814,44520,2013
"14725","Idaho County, Idaho",16,"049","049","16",6453,3020,2279,1594,0,0,29,44,45.1,296,2330,2049,1033,37349,2013
"14726","Power County, Idaho",16,"077","077","16",3414,1327,1587,645,5,0,481,123,40.2,588,975,893,446,44212,2013
"14727","Madison County, Illinois",17,"119","119","17",124212,59816,47893,36680,1846,2902,1178,757,40.7,4739,31196,41167,32712,53633,2013
"14728","Mercer County, Illinois",17,"131","131","17",7879,3631,3160,2212,0,0,62,18,43.3,364,2471,2711,1218,53136,2013
"14729","Sangamon County, Illinois",17,"167","167","17",97035,48747,37211,32281,2571,2752,541,441,41.6,4159,20691,29399,32341,55449,2013
"14730","Randolph County, Illinois",17,"157","157","17",13986,6579,5744,4225,200,292,122,35,42.3,756,4830,4964,1849,47427,2013
"14731","Ogle County, Illinois",17,"141","141","17",25332,11960,10014,7196,120,82,653,500,43,1843,7307,8686,5186,54541,2013
"14732","Stephenson County, Illinois",17,"177","177","17",21188,10658,7575,6154,427,438,166,182,43.9,1142,6686,7645,3993,43472,2013
"14733","White County, Illinois",17,"193","193","17",6480,2968,2669,1735,8,22,20,7,44.2,442,1466,2718,951,42914,2013
"14734","Henderson County, Illinois",17,"071","071","17",3480,1654,1604,1002,10,0,13,23,45.3,173,1086,1112,576,49389,2013
"14735","McLean County, Illinois",17,"113","113","17",88807,43809,32192,25646,1385,1612,1351,748,35.9,2159,15305,19126,34416,62089,2013
"14736","Pike County, Illinois",17,"149","149","17",7125,3312,3004,2088,0,0,21,5,42.6,493,2495,1995,1038,39845,2013
"14737","Rock Island County, Illinois",17,"161","161","17",68496,33514,25592,20236,1608,1344,2678,1606,41,4969,17022,22745,15601,48702,2013
"14738","Wabash County, Illinois",17,"185","185","17",5536,2562,2175,1502,0,0,6,0,43.5,193,1418,2273,879,47365,2013
"14739","Cumberland County, Illinois",17,"035","035","17",4998,2342,2019,1460,0,0,0,3,40,181,1590,1864,793,43958,2013
"14740","Dickenson County, Virginia",51,"051","051","51",5046,2207,2285,1381,0,3,35,0,40.1,483,1739,1564,798,33318,2013
"14741","Loudoun County, Virginia",51,"107","107","51",173426,79908,78629,54344,5493,4858,9267,6262,40.9,8309,19267,33597,96415,122238,2013
"14742","Roanoke County, Virginia",51,"161","161","51",45873,22872,18607,15377,799,776,330,242,43.6,2112,9339,12903,15682,60795,2013
"14743","Highland County, Virginia",51,"091","091","51",1083,527,376,285,0,0,0,0,50,120,416,146,205,49625,2013
"14744","Gloucester County, Virginia",51,"073","073","51",17788,8392,7609,5179,679,561,166,102,43.6,1132,5037,5584,3656,60519,2013
"14745","Powhatan County, Virginia",51,"145","145","51",12562,5759,5268,4150,226,152,72,53,44.5,660,2757,3696,3823,76548,2013
"14746","Fauquier County, Virginia",51,"061","061","51",33340,15484,14200,10050,984,843,919,510,44.3,1604,7813,9433,10247,88409,2013
"14747","Chesapeake city, Virginia",51,"550","550","51",105110,52774,47855,35504,10918,12027,2345,1490,41.5,4985,22396,33990,31765,69743,2013
"14748","Albemarle County, Virginia",51,"003","003","51",46563,22920,18718,14493,1429,1642,1299,602,41.4,2182,6797,8663,22857,67725,2013
"14749","Bedford County, Virginia",51,"019","019","51",33116,15417,14221,9787,786,908,247,109,44.6,2069,9050,9775,8501,57596,2013
"14750","Wise County, Virginia",51,"195","195","51",14455,6685,5862,4135,39,114,74,4,39.1,1379,4070,4528,2688,36218,2013
"14751","Portsmouth city, Virginia",51,"740","740","51",40961,21549,17262,14702,6999,7946,822,394,37.7,3988,10613,13775,8718,46166,2013
"14752","Alleghany County, Virginia",51,"005","005","51",6853,3148,2798,1987,49,139,62,30,43.6,551,2169,2111,1224,44848,2013
"14753","Galax city, Virginia",51,"640","640","51",2791,1513,875,1032,43,40,217,166,40,386,745,883,467,30325,2013
"14754","Northumberland County, Virginia",51,"133","133","51",5095,2598,1756,1525,419,272,0,45,47.5,559,1440,1712,824,51342,2013
"14755","Warren County, Virginia",51,"187","187","51",18648,8796,7653,5514,377,270,197,114,42.9,1922,6270,4718,3928,61610,2013
"14756","Fredericksburg city, Virginia",51,"630","630","51",12127,6050,4232,3442,886,834,584,291,33.6,668,2289,3260,3791,47040,2013
"14757","Arlington County, Virginia",51,"013","013","51",136432,64999,60490,48640,3955,3688,7368,5781,34.9,6553,8614,13660,93247,103208,2013
"14758","Hopewell city, Virginia",51,"670","670","51",8691,4592,3481,3192,1041,1204,379,202,37.4,1336,3265,2777,1060,37933,2013
"14759","Frederick County, Virginia",51,"069","069","51",38932,18911,16065,12085,552,539,1277,386,42.4,3149,9956,10635,10906,68424,2013
"14760","York County, Virginia",51,"199","199","51",29359,14304,14787,9595,1442,1482,754,277,43.3,674,4911,8006,12243,82073,2013
"14761","Nelson County, Virginia",51,"125","125","51",6569,3243,2372,2221,296,531,87,0,45.2,534,2048,1540,1787,48789,2013
"14762","Pittsylvania County, Virginia",51,"143","143","51",27492,13338,10776,8377,1739,1743,220,20,44.6,2978,8332,9372,4407,42143,2013
"14763","Falls Church city, Virginia",51,"610","610","51",7238,3543,3083,2340,93,239,160,197,41.5,66,581,671,5024,120000,2013
"14764","Poquoson city, Virginia",51,"735","735","51",5837,2781,2712,1962,11,10,35,16,45.3,143,960,1599,2318,81892,2013
"14765","Waynesboro city, Virginia",51,"820","820","51",9232,4768,3595,2955,321,285,128,64,39.8,1047,3078,2431,1728,44847,2013
"14766","Salem city, Virginia",51,"775","775","51",11864,6180,4002,3466,209,194,87,7,39.4,666,2485,3084,3528,48733,2013
"14767","Norfolk city, Virginia",51,"710","710","51",102347,50526,56867,36088,17543,15899,5440,2082,32.4,8748,23275,32017,24820,44747,2013
"14768","Fairfax County, Virginia",51,"059","059","51",591741,275282,262599,186741,22234,20882,39528,26958,41.6,38683,63854,102502,324947,110292,2013
"14769","Kittitas County, Washington",53,"037","037","53",18504,8690,6473,3758,92,4,495,234,33.8,1007,3724,4288,5233,42982,2013
"14770","Benton County, Washington",53,"005","005","53",81261,36242,34607,21895,324,221,5286,3228,41.1,6846,16294,26837,22466,60485,2013
"14771","Ferry County, Washington",53,"019","019","53",2323,1023,892,507,7,3,49,2,44.9,200,717,777,481,37571,2013
"14772","Douglas County, Washington",53,"017","017","53",17504,7720,6557,4295,14,0,1493,839,40.1,3145,3887,5591,2798,51908,2013
"14773","Pierce County, Washington",53,"053","053","53",352966,171037,153166,107310,10846,7795,13279,6442,40.1,22352,88319,128173,86412,59204,2013
"14774","Franklin County, Washington",53,"021","021","53",34019,14566,14938,8773,279,59,6610,3871,36.3,8277,7432,9271,4996,55177,2013
"14775","Whatcom County, Washington",53,"073","073","53",96145,44908,35089,22453,265,134,2473,1262,37.6,5564,16098,30117,27863,51939,2013
"14776","Hampshire County, West Virginia",54,"027","027","54",9158,3985,4073,2735,40,10,75,21,43.7,1107,5019,1844,917,27766,2013
"14777","Doddridge County, West Virginia",54,"017","017","54",2915,1280,1388,702,0,0,0,0,43.4,194,1350,635,433,34817,2013
"14778","Marion County, West Virginia",54,"049","049","54",25482,11904,10727,7843,285,214,143,60,40.8,1160,7940,6321,5971,42152,2013
"14779","Hancock County, West Virginia",54,"029","029","54",13003,6446,4830,4301,72,113,58,22,44.8,778,4577,4106,2654,38522,2013
"14780","Nicholas County, West Virginia",54,"067","067","54",10088,4790,4146,2904,0,0,0,0,42.6,646,4032,2219,2114,40064,2013
"14781","Tucker County, West Virginia",54,"093","093","54",3069,1452,1251,872,0,0,0,0,44.1,164,1168,790,548,37635,2013
"14782","Roane County, West Virginia",54,"087","087","54",4857,2170,1767,1388,0,0,5,0,42.4,596,2389,881,724,28513,2013
"14783","Wood County, West Virginia",54,"107","107","54",36957,17685,14759,11241,224,125,130,112,42.3,1775,11262,12826,7902,42287,2013
"14784","Mason County, West Virginia",54,"053","053","54",10029,4721,4152,3186,4,32,12,2,42.4,704,3902,3376,1451,38411,2013
"14785","Pleasants County, West Virginia",54,"073","073","54",2839,1357,1199,935,2,0,0,0,43.7,99,1114,1047,410,41859,2013
"14786","Jefferson County, West Virginia",54,"037","037","54",26523,12757,10848,8172,605,727,564,436,41.8,1948,7485,6719,7385,65304,2013
"14787","Pendleton County, West Virginia",54,"071","071","54",3202,1429,1446,922,37,43,6,15,44.8,291,1296,701,454,34175,2013
"14788","Ohio County, West Virginia",54,"069","069","54",20604,10267,7631,5907,186,157,51,54,41.7,791,5012,5280,6329,41025,2013
"14789","Calhoun County, West Virginia",54,"013","013","54",2677,1226,922,792,17,0,0,0,42.5,315,1364,533,400,31679,2013
"14790","Raleigh County, West Virginia",54,"081","081","54",29562,13929,12830,8481,947,665,85,92,40.1,2061,10108,7116,6624,40758,2013
"14791","Barbour County, West Virginia",54,"001","001","54",6433,3094,2464,1691,17,0,14,3,40.1,621,2819,1280,845,37327,2013
"14792","Wayne County, West Virginia",54,"099","099","54",15562,7605,6568,5201,0,1,11,0,41.9,838,6032,4785,2419,36964,2013
"14793","Guayanilla Municipio, Puerto Rico",72,"059","059","72",4545,1826,1780,1099,72,25,1773,1099,39.5,846,1597,1525,1351,15063,2013
"14794","Sabana Grande Municipio, Puerto Rico",72,"121","121","72",5789,2850,2083,1834,69,57,2083,1803,40.7,916,2185,1807,2374,16458,2013
"14795","Gu\u00E1nica Municipio, Puerto Rico",72,"055","055","72",3720,1449,1467,1015,26,30,1414,1001,39.9,827,1482,1222,1307,13031,2013
"14796","Naguabo Municipio, Puerto Rico",72,"103","103","72",7595,3473,2911,2332,41,62,2872,2332,38.2,1059,2392,2035,2382,17132,2013
"14797","Utuado Municipio, Puerto Rico",72,"141","141","72",6604,2760,2602,1594,50,18,2591,1594,40.4,1681,1862,2254,2384,14852,2013
"14798","Cata\u00F1o Municipio, Puerto Rico",72,"033","033","72",8139,3715,3469,2573,216,189,3430,2553,40,1664,2554,2393,2738,18977,2013
"14799","Guayama Municipio, Puerto Rico",72,"057","057","72",11328,5179,4580,3500,822,433,4571,3500,39.3,1318,3477,3302,3981,17260,2013
"14800","Gurabo Municipio, Puerto Rico",72,"063","063","72",16629,8177,6466,5350,504,559,6443,5315,39.3,1578,3042,4569,7274,27459,2013
"14801","Barceloneta Municipio, Puerto Rico",72,"017","017","72",5474,2408,2297,1846,18,1,2297,1846,36.3,433,1918,1937,1715,14848,2013
"14802","Guaynabo Municipio, Puerto Rico",72,"061","061","72",38625,18382,15539,13268,719,535,15213,13122,41.6,3674,6514,7604,20880,35074,2013
"14803","Fajardo Municipio, Puerto Rico",72,"053","053","72",11410,5378,4183,3562,366,368,4165,3552,38.5,1279,3417,3508,3508,21544,2013
"14804","Rinc\u00F3n Municipio, Puerto Rico",72,"117","117","72",4186,1707,1358,1008,13,9,1229,811,41.1,999,1096,1298,1339,15842,2013
"14805","Yabucoa Municipio, Puerto Rico",72,"151","151","72",8619,3851,3078,2568,293,196,3024,2568,38,1244,2900,2874,2210,17264,2013
"14806","Can\u00F3vanas Municipio, Puerto Rico",72,"029","029","72",15607,7520,5971,5009,928,756,5958,5009,40.2,2483,4794,4143,4833,21588,2013
"14807","Dorado Municipio, Puerto Rico",72,"051","051","72",12528,5568,5423,3655,618,502,5200,3622,40.2,1269,2764,3559,5226,28306,2013
"14808","Orocovis Municipio, Puerto Rico",72,"107","107","72",4898,2106,2111,1454,94,14,2111,1454,39.5,982,2030,1457,1491,14743,2013
"14809","Ceiba Municipio, Puerto Rico",72,"037","037","72",3866,1793,1503,1217,82,72,1478,1198,40.5,400,1072,1341,1117,19520,2013
"14810","Comer\u00EDo Municipio, Puerto Rico",72,"045","045","72",4748,2052,1878,1598,34,21,1878,1598,38.5,796,1504,1330,970,12615,2013
"14811","Lares Municipio, Puerto Rico",72,"081","081","72",6383,2683,2551,1784,53,4,2551,1766,38.9,1709,2055,2060,2034,11851,2013
"14812","San Juan Municipio, Puerto Rico",72,"127","127","72",140715,69162,50658,44428,7629,6152,49294,43488,40.6,20663,24802,34822,58701,22754,2013
"14813","Maricao Municipio, Puerto Rico",72,"093","093","72",1858,789,588,540,0,15,588,540,41,297,753,221,396,15104,2013
"14814","Phillips County, Montana",30,"071","071","30",1798,807,860,518,0,0,0,12,48.3,81,620,616,297,42632,2013
"14815","Blaine County, Nebraska",31,"009","009","31",290,113,152,60,0,0,0,0,43.6,1,89,116,46,42917,2013
"14816","Deuel County, Nebraska",31,"049","049","31",1040,457,423,323,0,0,10,16,47.1,37,247,374,162,44922,2013
"14817","Logan County, Nebraska",31,"113","113","31",400,174,193,92,1,0,0,1,48,22,48,159,68,44417,2013
"14818","Thayer County, Nebraska",31,"169","169","31",2440,1143,1116,750,0,0,15,10,47,105,639,893,420,44422,2013
"14819","Adams County, Nebraska",31,"001","001","31",15830,7404,6422,4954,99,0,426,220,39.9,737,3488,5595,3009,49440,2013
"14820","Boone County, Nebraska",31,"011","011","31",2784,1225,1313,722,0,0,15,5,45.4,52,921,918,410,45246,2013
"14821","Rock County, Nebraska",31,"149","149","31",749,316,359,190,0,0,0,0,47.8,28,208,275,133,43500,2013
"14822","Sherman County, Nebraska",31,"163","163","31",1566,741,679,465,0,0,0,0,46.7,38,496,426,262,41835,2013
"14823","Howard County, Nebraska",31,"093","093","31",3248,1515,1448,1062,0,0,23,3,43.5,61,1062,1059,577,49088,2013
"14824","Gosper County, Nebraska",31,"073","073","31",1063,524,447,318,0,0,2,2,44.8,15,250,424,159,45893,2013
"14825","Sarpy County, Nebraska",31,"153","153","31",83615,40494,37527,27013,1519,1122,2489,1394,39.2,2615,14701,26729,28861,69965,2013
"14826","Boyd County, Nebraska",31,"015","015","31",967,412,492,218,0,0,4,0,47.7,20,322,303,136,41279,2013
"14827","Fillmore County, Nebraska",31,"059","059","31",3087,1464,1342,930,6,0,10,26,45.8,84,795,1074,548,48464,2013
"14828","Hooker County, Nebraska",31,"091","091","31",367,167,165,85,0,0,2,0,43.9,5,61,108,107,39327,2013
"14829","Seward County, Nebraska",31,"159","159","31",8283,3749,3567,2338,11,4,59,15,41.5,283,1886,2547,2072,59435,2013
"14830","Webster County, Nebraska",31,"181","181","31",1647,756,723,496,0,0,21,6,45.4,69,473,592,298,41045,2013
"14831","Butler County, Nebraska",31,"023","023","31",4235,1947,1935,1278,9,43,50,13,44.6,159,1284,1551,533,50247,2013
"14832","Arthur County, Nebraska",31,"005","005","31",215,102,93,57,0,0,0,0,39.8,10,21,102,61,40568,2013
"14833","Gage County, Nebraska",31,"067","067","31",10904,5336,4484,3339,2,0,32,14,43.7,416,3006,3742,2095,47654,2013
"14834","Kearney County, Nebraska",31,"099","099","31",3514,1650,1526,998,0,0,55,58,43,138,712,1206,828,56466,2013
"14835","Madison County, Nebraska",31,"119","119","31",18326,8682,7605,5154,70,46,758,392,40.9,1287,3710,6219,3689,46566,2013
"14836","Phelps County, Nebraska",31,"137","137","31",4664,2304,1954,1569,0,0,67,27,44.6,117,980,1872,1006,50000,2013
"14837","Wayne County, Nebraska",31,"179","179","31",5091,2352,1987,1248,72,23,79,34,31.4,160,688,1321,1448,52147,2013
"14838","Knox County, Nebraska",31,"107","107","31",4215,1958,1925,1192,0,0,50,0,45.8,161,1350,1226,735,42230,2013
"14839","Merrick County, Nebraska",31,"121","121","31",4014,1970,1666,1242,3,0,21,39,42.5,194,1155,1395,629,50859,2013
"14840","Pawnee County, Nebraska",31,"133","133","31",1257,543,607,344,0,0,2,0,46.4,82,449,396,134,37321,2013
"14841","Wheeler County, Nebraska",31,"183","183","31",505,212,259,112,0,0,14,2,43.3,7,153,144,74,38807,2013
"14842","Lander County, Nevada",32,"015","015","32",2513,889,1463,544,0,0,380,130,43.1,354,734,910,261,72742,2013
"14843","Esmeralda County, Nevada",32,"009","009","32",366,114,203,60,0,0,57,15,47.6,40,118,134,54,30284,2013
"14844","Mineral County, Nevada",32,"021","021","32",1660,813,695,574,26,8,40,53,45.9,60,507,767,259,35017,2013
"14845","Lincoln County, Nevada",32,"017","017","32",1793,773,906,494,16,0,29,5,39.4,132,528,605,361,40143,2013
"14846","Washoe County, Nevada",32,"031","031","32",201440,94866,76453,60466,1750,1304,14913,10958,40.2,21572,41730,64996,53623,53040,2013
"14847","Carson City, Nevada",32,"510","510","32",22624,10863,8224,7193,257,68,1646,1332,42.1,2481,6479,8051,4633,51957,2013
"14848","Merrimack County, New Hampshire",33,"013","013","33",76057,37489,28925,22912,390,117,399,392,43.7,3331,17113,20941,24716,65353,2013
"14849","Belknap County, New Hampshire",33,"001","001","33",30505,14790,12044,9093,0,68,71,43,44.9,1739,7711,9337,7811,58654,2013
"14850","Strafford County, New Hampshire",33,"017","017","33",66052,33024,24065,17854,224,69,423,263,39,2672,13541,17874,19339,58825,2013
"14851","Monmouth County, New Jersey",34,"025","025","34",305222,141600,126740,83776,6323,7117,12361,6971,44,13540,61902,72808,129706,84526,2013
"14852","Sussex County, New Jersey",34,"037","037","34",75891,36015,30812,20906,436,531,1674,1221,44.9,2783,19851,22324,24409,87335,2013
"14853","Essex County, New Jersey",34,"013","013","34",349646,172860,136164,115405,41954,48903,29775,20740,40.9,38765,90076,84723,125235,55095,2013
"14854","Gloucester County, New Jersey",34,"015","015","34",139549,69204,53406,40798,4259,4399,2289,1498,42.1,6107,38364,39663,43615,74524,2013
"14855","Passaic County, New Jersey",34,"031","031","34",226263,106550,94503,70218,8340,9721,35744,25381,40.9,25011,69185,49892,63479,57654,2013
"14856","Bergen County, New Jersey",34,"003","003","34",446366,208824,192713,139071,9519,11107,33929,25413,43.5,18849,84302,89987,212664,83794,2013
"14857","Warren County, New Jersey",34,"041","041","34",52892,24711,21874,15440,713,608,1465,862,44.1,3079,15212,12930,17036,70912,2013
"14858","Burlington County, New Jersey",34,"005","005","34",219945,107918,90337,69246,12632,12744,5660,4020,43.1,9076,52505,56477,80773,78446,2013
"14859","Luna County, New Mexico",35,"029","029","35",8699,4266,3167,2364,31,29,1794,1584,40.2,2116,2532,1893,1320,29282,2013
"14860","Taos County, New Mexico",35,"055","055","35",13694,6761,4591,4151,33,13,2545,2173,45.3,1241,3245,4664,4095,32637,2013
"14861","Colfax County, New Mexico",35,"007","007","35",5491,2669,1997,1794,0,0,866,822,41.6,415,1551,1704,996,37734,2013
"14862","Harding County, New Mexico",35,"021","021","35",263,141,103,66,0,0,38,32,51.4,3,94,88,61,34063,2013
"14863","Quay County, New Mexico",35,"037","037","35",3144,1405,1156,852,0,0,473,321,41.4,309,937,798,454,30802,2013
"14864","Noxubee County, Mississippi",28,"103","103","28",3694,1823,1330,1058,724,874,25,0,39.9,848,1184,1088,561,24338,2013
"14865","Tate County, Mississippi",28,"137","137","28",11599,5577,4686,3711,954,1403,259,0,41,1212,3242,4049,1914,41494,2013
"14866","Panola County, Mississippi",28,"107","107","28",12084,5925,5040,4241,1647,1699,43,0,41.1,1616,3456,4091,2188,35715,2013
"14867","Yalobusha County, Mississippi",28,"161","161","28",4761,2393,1826,1543,642,725,14,0,43.2,394,1558,1649,668,32930,2013
"14868","Copiah County, Mississippi",28,"029","029","28",10596,5258,4324,3488,1713,1660,122,13,42.1,1005,3569,4051,1620,35421,2013
"14869","Hinds County, Mississippi",28,"049","049","28",104507,54969,37802,38742,22993,27867,767,284,39.2,8487,21773,34606,29812,37626,2013
"14870","Union County, Mississippi",28,"145","145","28",11396,5221,4605,3545,539,496,153,55,40.3,1692,3459,3375,1898,38373,2013
"14871","Tippah County, Mississippi",28,"139","139","28",8344,3881,3450,2611,285,256,234,65,38.9,1287,2575,2861,904,34636,2013
"14872","Forrest County, Mississippi",28,"035","035","28",31919,15095,11998,8769,3545,3052,527,170,34,2968,6689,8543,8263,36726,2013
"14873","Lafayette County, Mississippi",28,"071","071","28",20889,9998,7080,6043,1695,1794,316,95,32.5,1759,2898,5170,7216,43328,2013
"14874","Lowndes County, Mississippi",28,"087","087","28",23790,11903,10330,7350,3068,3205,165,38,39.9,2536,6643,7700,5477,37868,2013
"14875","Wilkinson County, Mississippi",28,"157","157","28",3273,1576,1324,1017,748,788,0,0,42,278,1333,1039,484,33618,2013
"14876","Jefferson Davis County, Mississippi",28,"065","065","28",4407,2259,1500,1682,767,1039,0,0,41.5,433,1599,1446,632,27186,2013
"14877","Scott County, Mississippi",28,"123","123","28",11371,5502,4552,3717,1233,1402,694,250,40,2432,3538,3194,1204,34534,2013
"14878","Yazoo County, Mississippi",28,"163","163","28",8659,4189,3962,2893,1772,1431,129,20,38.7,1319,2924,2813,1449,26336,2013
"14879","Bolivar County, Mississippi",28,"011","011","28",12364,6464,4422,4279,2031,2645,188,25,39,1708,3025,3934,3262,28599,2013
"14880","Pike County, Mississippi",28,"113","113","28",14481,7133,5422,4801,2486,2438,143,17,41.2,2114,4024,4618,2468,34841,2013
"14881","Stone County, Mississippi",28,"131","131","28",6842,3125,2923,2068,235,398,59,9,41.2,651,1925,2742,1107,42963,2013
"14882","Kemper County, Mississippi",28,"069","069","28",3495,1908,1263,1255,505,642,25,45,40.3,544,1298,1141,376,29003,2013
"14883","Sunflower County, Mississippi",28,"133","133","28",8458,4343,3096,2917,1805,2098,42,15,39.5,1036,2282,3536,1555,26619,2013
"14884","Adams County, Mississippi",28,"001","001","28",10709,5529,4117,3817,1766,2048,45,26,41.9,771,3005,3842,2365,27381,2013
"14885","DeSoto County, Mississippi",28,"033","033","28",78664,38571,32840,26487,5656,6610,1727,632,40.4,5696,19442,28096,18468,58505,2013
"14886","Delaware County, Pennsylvania",42,"045","045","42",265554,131757,101429,82833,14367,18040,2971,1742,41.8,10524,65637,64612,97136,64041,2013
"14887","Somerset County, Pennsylvania",42,"111","111","42",33213,14967,14493,9209,154,25,154,61,43.7,2049,14727,7626,5753,43597,2013
"14888","Madison County, Missouri",29,"123","123","29",4687,2250,1800,1445,0,0,32,41,40.1,581,1576,1665,408,35870,2013
"14889","Vernon County, Missouri",29,"217","217","29",9121,4604,3536,2963,1,17,18,10,42,701,3273,2634,1170,38679,2013
"14890","Nodaway County, Missouri",29,"147","147","29",11764,5815,3522,2725,42,14,16,13,28.4,219,3039,2049,2117,36641,2013
"14891","Chariton County, Missouri",29,"041","041","29",3353,1568,1324,922,12,3,6,3,44.9,201,1313,829,512,39385,2013
"14892","Wayne County, Missouri",29,"223","223","29",5139,2563,1901,1618,5,7,16,12,44.6,628,2139,1367,549,33159,2013
