petition_number,cert_wrkrs_pet,partic_pet
65149,50,16
65150,22,30
65151,32,5
65168,120,7
65172,213,170
65175,17,5
65179,102,97
65184,42,16
65186,8,17
65188,128,71
65195,265,57
65196,35,15
65198,55,69
65199,1101,49
65200,24,11
65205,25,3
65209,210,127
65215,54,11
65216,51,19
65220,20,26
65228,35,5
65230,98,20
65232,56,9
65235,12,15
65236,313,266
65240,9,8
65242,57,13
65245,93,80
65246,128,49
65249,12,49
65250,94,9
65257,16,11
65258,346,279
65260,180,17
65262,1397,108
65268,62,7
65269,210,32
65270,130,30
65271,60,31
65272,75,92
65279,20,3
65286,326,21
65290,13,4
65293,30,19
65296,125,52
65302,146,37
65304,310,58
65310,8,3
65314,30,14
65316,18,4
65319,20,16
65321,30,79
65323,127,88
65327,11,8
65330,4,3
65333,26,15
65334,42,14
65337,131,53
65341,36,7
65344,58,9
65353,42,19
65355,7,5
65363,31,9
65371,26,12
65373,169,81
65382,5,7
65387,10,15
65393,18,8
65397,43,66
65398,14,3
65399,25,6
65402,27,10
65414,284,210
65415,163,43
65421,228,33
65423,104,52
65427,36,4
65430,0,106
65437,482,686
65440,12,10
65448,19,12
65449,115,65
65461,76,55
65472,73,12
65473,142,33
65475,124,58
65477,9,6
65483,20,11
65484,85,31
65489,97,18
65490,51,24
65506,24,7
65507,13,14
65514,18,7
65521,33,7
65527,27,26
65542,90,30
65553,18,5
65554,45,17
65560,51,35
65564,165,72
65576,25,9
65577,71,104
65585,44,26
65589,193,70
65596,17,14
65600,44,21
65607,177,32
65608,16,3
65637,200,39
65653,4,9
65654,381,112
65655,166,116
65656,97,43
65657,18,4
65667,93,57
65672,13,3
65678,62,8
65683,1755,153
65687,19,35
65688,31,31
65689,24,25
65694,135,8
65698,9,7
65700,43,34
65701,10,14
65702,87,31
65708,53,45
65722,57,24
65727,77,18
65735,514,185
65736,34,10
65738,16,9
65742,111,8
65759,6,21
65762,1310,"1,049"
65771,171,35
65777,186,53
65778,12,4
65797,31,86
65800,45,15
65805,337,37
65806,237,41
65808,159,7
65812,127,26
65819,175,114
65839,334,70
65850,41,10
65867,179,20
65890,39,4
65904,107,60
70001,295,158
70002,63,5
70003,56,24
70004,22,7
70005,105,26
70006,25,33
70007,17,24
70009,12,6
70010,25,7
70013,7,19
70014,111,68
70015,246,21
70016,196,126
70017,684,542
70018,121,4
70020,221,133
70021,73,58
70022,96,96
70023,270,47
70024,152,86
70025,24,3
70026,50,29
70027,54,7
70028,115,24
70030,119,107
70032,114,14
70034,60,29
70035,67,26
70036,27,11
70037,337,3
70039,42,34
70040,112,70
70041,110,69
70043,40,9
70044,50,14
70045,71,23
70048,18,30
70049,21,10
70050,153,35
70051,83,41
70053,294,39
70054,100,53
70055,119,57
70056,41,209
70057,205,221
70058,356,8
70059,47,32
70060,40,25
70061,153,13
70063,65,4
70064,59,158
70065,29,3
70066,104,32
70067,525,38
70068,25,4
70069,39,8
70070,369,109
70073,207,50
70074,64,9
70075,125,24
70081,138,13
70082,209,176
70084,75,4
70085,102,6
70086,45,15
70087,451,77
70088,168,76
70090,200,31
70093,68,57
70095,45,17
70096,109,35
70097,65,10
70098,84,12
70103,61,33
70105,145,56
70106,326,41
70110,115,3
70111,22,4
70112,128,52
70113,17,10
70115,329,81
70116,79,25
70119,18,6
70120,59,10
70121,74,20
70122,404,3
70123,304,770
70124,1270,583
